Geneid	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/188_F_CB2YGANXX_TTAGGC_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/179_F_CB2YGANXX_ATCACG_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/192_F_CB2YGANXX_ACAGTG_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/190_F_CB2YGANXX_TGACCA_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/187_F_CB2YGANXX_CGATGT_L001Aligned.sortedByCoord.out.bam	/data/biohub/20180328_Atkins_RatFracture/2_alignedData/bam/194_F_CB2YGANXX_GCCAAT_L001Aligned.sortedByCoord.out.bam
ENSRNOG00000060323	0	0	0	0	0	0
ENSRNOG00000057164	0	0	0	0	0	0
ENSRNOG00000012742	2	2	5	1	1	0
ENSRNOG00000058487	8	1	2	2	1	0
ENSRNOG00000055826	3	1	1	1	0	0
ENSRNOG00000053323	1	0	0	0	0	0
ENSRNOG00000056842	1	0	1	3	0	0
ENSRNOG00000033609	10	3	6	4	0	0
ENSRNOG00000054020	0	1	3	0	0	0
ENSRNOG00000054169	4	2	1	1	0	0
ENSRNOG00000057928	8	1	2	0	0	1
ENSRNOG00000057721	0	1	0	0	0	0
ENSRNOG00000016812	33	65	7	6	50	11
ENSRNOG00000047117	12	6	2	2	0	0
ENSRNOG00000023053	343	498	794	804	783	1173
ENSRNOG00000049434	16	3	8	0	0	0
ENSRNOG00000052375	0	0	0	1	0	0
ENSRNOG00000017095	3	3	2	2	0	0
ENSRNOG00000055337	4	1	7	2	1	0
ENSRNOG00000057357	5	1	1	0	0	0
ENSRNOG00000017150	168	270	217	431	516	422
ENSRNOG00000043733	1	0	0	0	0	0
ENSRNOG00000034075	6	5	9	19	5	11
ENSRNOG00000017254	398	741	796	1320	1291	1836
ENSRNOG00000017601	29	34	76	89	49	64
ENSRNOG00000052644	0	0	0	0	0	0
ENSRNOG00000017613	61	90	235	275	157	256
ENSRNOG00000055880	0	1	0	0	0	0
ENSRNOG00000017678	2	6	10	6	4	3
ENSRNOG00000058077	7	0	11	7	14	21
ENSRNOG00000032150	58	59	71	117	116	197
ENSRNOG00000055957	0	0	0	0	0	1
ENSRNOG00000047406	6	2	4	0	0	1
ENSRNOG00000027422	59	108	85	195	176	257
ENSRNOG00000017826	223	280	267	436	724	711
ENSRNOG00000042308	40	35	20	63	119	136
ENSRNOG00000058041	1	0	0	0	0	0
ENSRNOG00000051377	61	77	73	109	90	129
ENSRNOG00000059310	1	0	0	0	0	0
ENSRNOG00000017963	62	58	25	173	293	260
ENSRNOG00000049259	248	345	190	605	1315	1109
ENSRNOG00000016462	173	192	89	376	874	760
ENSRNOG00000056694	34	29	24	44	98	73
ENSRNOG00000049256	0	0	0	0	0	0
ENSRNOG00000046712	0	0	0	0	0	0
ENSRNOG00000054816	0	0	0	0	0	0
ENSRNOG00000049881	0	0	0	0	0	0
ENSRNOG00000047145	143	165	33	474	1205	849
ENSRNOG00000046353	33	29	10	55	121	117
ENSRNOG00000054466	3	3	2	4	1	3
ENSRNOG00000057057	9	1	2	1	0	0
ENSRNOG00000053328	11	6	4	3	3	3
ENSRNOG00000023081	3	1	1	0	0	0
ENSRNOG00000016368	7	8	6	12	9	8
ENSRNOG00000016286	17	4	7	4	0	0
ENSRNOG00000053056	0	0	0	0	0	1
ENSRNOG00000016011	109	192	210	364	227	535
ENSRNOG00000019582	87	150	301	268	230	381
ENSRNOG00000055235	1	0	2	1	0	0
ENSRNOG00000019549	274	605	1544	1222	1171	2795
ENSRNOG00000019544	37	81	73	190	110	211
ENSRNOG00000019501	245	264	235	509	621	747
